WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,28493,20917,Circuit Court Judge (Vacancy of Foreman),Patrick T. Murphy,14102
1,28493,20917,Circuit Court Judge (Vacancy of O'Malley),Kathleen Marie Burke,13446
1,28493,20917,Circuit Court Judge (Vacancy of Orlando),Laurence J. Dunford,12678
1,28493,20917,Circuit Court Judge (Vacancy of Salyers),John Joseph Coyne,2850
1,28493,20917,Circuit Court Judge (Vacancy of Salyers),Michelle Jordan,12027
1,28493,20917,Circuit Court Judge (Vacancy of Siracusa),Timothy Patrick Murphy,13193
1,28493,20917,Circuit Court Judge - 10th (Addtl Judgeship A),Clare Elizabeth McWilliams,11
1,28493,20917,Circuit Court Judge - 10th (Vac. of Fleming),Aurelia Marie Pucinski,13
1,28493,20917,Cook County - Treatment on Demand Initiative,NO,2524
1,28493,20917,Cook County - Treatment on Demand Initiative,YES,11759
1,28493,20917,Retain Alexander P. White as Circuit Court Judge,NO,2289
1,28493,20917,Retain Alexander P. White as Circuit Court Judge,YES,8373
1,28493,20917,Retain Allen S. Goldberg as Circuit Court Judge,NO,2347
1,28493,20917,Retain Allen S. Goldberg as Circuit Court Judge,YES,7948
1,28493,20917,Retain Anthony L. Young as Circuit Court Judge,NO,2102
1,28493,20917,Retain Anthony L. Young as Circuit Court Judge,YES,7903
1,28493,20917,Retain Arnette R. Hubbard as Circuit Court Judge,NO,2457
1,28493,20917,Retain Arnette R. Hubbard as Circuit Court Judge,YES,7611
1,28493,20917,Retain Bernetta D. Bush as Circuit Court Judge,NO,2484
1,28493,20917,Retain Bernetta D. Bush as Circuit Court Judge,YES,7901
1,28493,20917,Retain Bertina E. Lampkin as Circuit Court Judge,NO,2072
1,28493,20917,Retain Bertina E. Lampkin as Circuit Court Judge,YES,8197
1,28493,20917,Retain Carol A. Kelly as Circuit Court Judge,NO,1732
1,28493,20917,Retain Carol A. Kelly as Circuit Court Judge,YES,8844
1,28493,20917,Retain Charles Patrick Burns as Circuit Court Judge,NO,2145
1,28493,20917,Retain Charles Patrick Burns as Circuit Court Judge,YES,7824
1,28493,20917,Retain Cheyrl D. Ingram as Circuit Court Judge,NO,2083
1,28493,20917,Retain Cheyrl D. Ingram as Circuit Court Judge,YES,8245
1,28493,20917,Retain Dan Weber as Circuit Court Judge,NO,2270
1,28493,20917,Retain Dan Weber as Circuit Court Judge,YES,8389
1,28493,20917,Retain Daniel E. Jordan as Circuit Court Judge,NO,2232
1,28493,20917,Retain Daniel E. Jordan as Circuit Court Judge,YES,8188
1,28493,20917,Retain Daniel J. Sullivan as Circuit Court Judge,NO,2124
1,28493,20917,Retain Daniel J. Sullivan as Circuit Court Judge,YES,8034
1,28493,20917,Retain Daniel Joseph Lynch as Circuit Court Judge,NO,2171
1,28493,20917,Retain Daniel Joseph Lynch as Circuit Court Judge,YES,8078
1,28493,20917,Retain Daniel Michael Locallo as Circuit Court Judge,NO,2137
1,28493,20917,Retain Daniel Michael Locallo as Circuit Court Judge,YES,8004
1,28493,20917,Retain David Delgado as Circuit Court Judge,NO,2033
1,28493,20917,Retain David Delgado as Circuit Court Judge,YES,8883
1,28493,20917,Retain Deborah Mary Dooling as Circuit Court Judge,NO,2107
1,28493,20917,Retain Deborah Mary Dooling as Circuit Court Judge,YES,8222
1,28493,20917,Retain Denise Kathleen Filan as Circuit Court Judge,NO,2021
1,28493,20917,Retain Denise Kathleen Filan as Circuit Court Judge,YES,7911
1,28493,20917,Retain Dennis James Morrissey as Circuit Court Judge,NO,2649
1,28493,20917,Retain Dennis James Morrissey as Circuit Court Judge,YES,7657
1,28493,20917,Retain Diane Joan Larsen as Circuit Court Judge,NO,1754
1,28493,20917,Retain Diane Joan Larsen as Circuit Court Judge,YES,8948
1,28493,20917,"Retain Donald J. O'Brien, Jr. as Circuit Court Judge",NO,2396
1,28493,20917,"Retain Donald J. O'Brien, Jr. as Circuit Court Judge",YES,8232
1,28493,20917,Retain Dorothy F. Jones as Circuit Court Judge,NO,3486
1,28493,20917,Retain Dorothy F. Jones as Circuit Court Judge,YES,7234
1,28493,20917,Retain Dorothy Kirie Kinnaird as Circuit Court Judge,NO,2154
1,28493,20917,Retain Dorothy Kirie Kinnaird as Circuit Court Judge,YES,8548
1,28493,20917,Retain Edna M. Turkington as Circuit Court Judge,NO,2513
1,28493,20917,Retain Edna M. Turkington as Circuit Court Judge,YES,8053
1,28493,20917,Retain Irwin J. Solganick as Circuit Court Judge,NO,2453
1,28493,20917,Retain Irwin J. Solganick as Circuit Court Judge,YES,8145
1,28493,20917,Retain James Patrick McCarthy as Circuit Court Judge,NO,2139
1,28493,20917,Retain James Patrick McCarthy as Circuit Court Judge,YES,7851
1,28493,20917,Retain James W. Kennedy as Circuit Court Judge,NO,2275
1,28493,20917,Retain James W. Kennedy as Circuit Court Judge,YES,8782
1,28493,20917,Retain Jeffrey Lawrence as Circuit Court Judge,NO,2190
1,28493,20917,Retain Jeffrey Lawrence as Circuit Court Judge,YES,7802
1,28493,20917,Retain Jennifer Duncan Brice as Circuit Court Judge,NO,1984
1,28493,20917,Retain Jennifer Duncan Brice as Circuit Court Judge,YES,8445
1,28493,20917,Retain John A. Ward as Circuit Court Judge,NO,2162
1,28493,20917,Retain John A. Ward as Circuit Court Judge,YES,7924
1,28493,20917,"Retain John D. Turner, Jr. as Circuit Court Judge",NO,2221
1,28493,20917,"Retain John D. Turner, Jr. as Circuit Court Judge",YES,8124
1,28493,20917,Retain John J. Moran as Circuit Court Judge,NO,2311
1,28493,20917,Retain John J. Moran as Circuit Court Judge,YES,8379
1,28493,20917,Retain John Patrick Kirby as Circuit Court Judge,NO,2160
1,28493,20917,Retain John Patrick Kirby as Circuit Court Judge,YES,7934
1,28493,20917,Retain Julia Margaret Nowicki as Circuit Court Judge,NO,2059
1,28493,20917,Retain Julia Margaret Nowicki as Circuit Court Judge,YES,8082
1,28493,20917,Retain Kathleen Mary Pantle as Circuit Court Judge,NO,1918
1,28493,20917,Retain Kathleen Mary Pantle as Circuit Court Judge,YES,8320
1,28493,20917,Retain Kevin Michael Sheehan as Circuit Court Judge,NO,2232
1,28493,20917,Retain Kevin Michael Sheehan as Circuit Court Judge,YES,8015
1,28493,20917,Retain LaQuietta J Hardy-Campbell as Circuit Court Judge,NO,2045
1,28493,20917,Retain LaQuietta J Hardy-Campbell as Circuit Court Judge,YES,7989
1,28493,20917,Retain Leida J. Gonzalez Santiago as Circuit Couut Judge,NO,2430
1,28493,20917,Retain Leida J. Gonzalez Santiago as Circuit Couut Judge,YES,8456
1,28493,20917,Retain Mary Jane Wendt Theis as Appellate Court Judge,NO,2413
1,28493,20917,Retain Mary Jane Wendt Theis as Appellate Court Judge,YES,8858
1,28493,20917,Retain Maureen Durkin Roy as Circuit Court Judge,NO,2103
1,28493,20917,Retain Maureen Durkin Roy as Circuit Court Judge,YES,7928
1,28493,20917,Retain Melvin J. Cole as Circuit Court Judge,NO,2681
1,28493,20917,Retain Melvin J. Cole as Circuit Court Judge,YES,7318
1,28493,20917,Retain Michael James Murphy as Circuit Court Judge,NO,2097
1,28493,20917,Retain Michael James Murphy as Circuit Court Judge,YES,8012
1,28493,20917,Retain Michael R. Keehan as Circuit Court Judge,NO,2215
1,28493,20917,Retain Michael R. Keehan as Circuit Court Judge,YES,7844
1,28493,20917,Retain Nancy J. Arnold as Circuit Court Judge,NO,1944
1,28493,20917,Retain Nancy J. Arnold as Circuit Court Judge,YES,8102
1,28493,20917,"Retain Nathaniel R. Howse, Jr. as Circuit Court Judge",NO,2203
1,28493,20917,"Retain Nathaniel R. Howse, Jr. as Circuit Court Judge",YES,7787
1,28493,20917,Retain Nicholas R. Ford as Circuit Court Judge,NO,2236
1,28493,20917,Retain Nicholas R. Ford as Circuit Court Judge,YES,7648
1,28493,20917,Retain Paddy McNamara as Circuit Court Judge,NO,2368
1,28493,20917,Retain Paddy McNamara as Circuit Court Judge,YES,8309
1,28493,20917,Retain Patrick E. McGann as Circuit Court Judge,NO,2177
1,28493,20917,Retain Patrick E. McGann as Circuit Court Judge,YES,7881
1,28493,20917,Retain Paul Philip Biebel as Circuit Court Judge,NO,2265
1,28493,20917,Retain Paul Philip Biebel as Circuit Court Judge,YES,7725
1,28493,20917,Retain Paul Stralka as Circuit Court Judge,NO,2194
1,28493,20917,Retain Paul Stralka as Circuit Court Judge,YES,8164
1,28493,20917,Retain Raymond L. Jagielski as Circuit Court Judge,NO,2403
1,28493,20917,Retain Raymond L. Jagielski as Circuit Court Judge,YES,7880
1,28493,20917,Retain Richard A. Siebel as Circuit Court Judge,NO,2271
1,28493,20917,Retain Richard A. Siebel as Circuit Court Judge,YES,7893
1,28493,20917,Retain Richard B. Berland Circuit Court Judge,NO,2481
1,28493,20917,Retain Richard B. Berland Circuit Court Judge,YES,8399
1,28493,20917,"Retain Richard J. Billik, Jr. as Circuit Court Judge",NO,2642
1,28493,20917,"Retain Richard J. Billik, Jr. as Circuit Court Judge",YES,7852
1,28493,20917,Retain Robert J. Quinn as Circuit Court Judge,NO,2176
1,28493,20917,Retain Robert J. Quinn as Circuit Court Judge,YES,7847
1,28493,20917,Retain Robert W. Bertucci as Circuit Court Judge,NO,2126
1,28493,20917,Retain Robert W. Bertucci as Circuit Court Judge,YES,8847
1,28493,20917,Retain Sharon Marie Sullivan as Circuit Court Judge,NO,1950
1,28493,20917,Retain Sharon Marie Sullivan as Circuit Court Judge,YES,8384
1,28493,20917,Retain Sheila O'Brien as Appellate Court Judge,NO,2194
1,28493,20917,Retain Sheila O'Brien as Appellate Court Judge,YES,9367
1,28493,20917,Retain Sophia H. Hall as Circuit Court Judge,NO,1883
1,28493,20917,Retain Sophia H. Hall as Circuit Court Judge,YES,9567
1,28493,20917,Retain Susan Frances Zwick as Circuit Court Judge,NO,2079
1,28493,20917,Retain Susan Frances Zwick as Circuit Court Judge,YES,7967
1,28493,20917,Retain Susan Jeanine McDunn as Circuit Court Judge,NO,3645
1,28493,20917,Retain Susan Jeanine McDunn as Circuit Court Judge,YES,6874
1,28493,20917,Retain Susan Ruscitti Grussel as Circuit Court Judge,NO,2093
1,28493,20917,Retain Susan Ruscitti Grussel as Circuit Court Judge,YES,8213
1,28493,20917,Retain Thomas E Hoffman as Appellate Court Judge,NO,2320
1,28493,20917,Retain Thomas E Hoffman as Appellate Court Judge,YES,9393
1,28493,20917,Retain Thomas F. Carmody as Circuit Court Judge,NO,2298
1,28493,20917,Retain Thomas F. Carmody as Circuit Court Judge,YES,7900
1,28493,20917,Retain Thomas L. Hogan as Circuit Court Judge,NO,2254
1,28493,20917,Retain Thomas L. Hogan as Circuit Court Judge,YES,7655
1,28493,20917,Retain Thomas Michael Davy as Circuit Court Judge,NO,2317
1,28493,20917,Retain Thomas Michael Davy as Circuit Court Judge,YES,7861
1,28493,20917,"Retain Thomas P. Fecarotta, Jr. as Circuit Court Judge",NO,2203
1,28493,20917,"Retain Thomas P. Fecarotta, Jr. as Circuit Court Judge",YES,7743
1,28493,20917,Retain Thomas P. Quinn as Circuit Court Judge,NO,2334
1,28493,20917,Retain Thomas P. Quinn as Circuit Court Judge,YES,8385
1,28493,20917,Retain Timothy C. Evans as Circuit Court Judge,NO,2185
1,28493,20917,Retain Timothy C. Evans as Circuit Court Judge,YES,8328
1,28493,20917,Retain Vincent M. Gaughan as Circuit Court Judge,NO,2393
1,28493,20917,Retain Vincent M. Gaughan as Circuit Court Judge,YES,8129
1,28493,20917,Retain William D. Maddux as Circuit Court Judge,NO,2489
1,28493,20917,Retain William D. Maddux as Circuit Court Judge,YES,8196
1,28493,20917,Retain William D. O'Neal as Circuit Court Judge,NO,3105
1,28493,20917,Retain William D. O'Neal as Circuit Court Judge,YES,7067
1,28493,20917,Retain William Maki as Circuit Court Judge,NO,2236
1,28493,20917,Retain William Maki as Circuit Court Judge,YES,7738
1,28493,20917,Retain William Michael Phelan as Circuit Court Judge,NO,2487
1,28493,20917,Retain William Michael Phelan as Circuit Court Judge,YES,7550
1,28493,20917,Retain William P. O'Malley as Circuit Court Judge,NO,2284
1,28493,20917,Retain William P. O'Malley as Circuit Court Judge,YES,8708
2,31253,23846,"Bronzeville Housing Trust Fund - Wards 2, 3, 4 & 20",NO,368
2,31253,23846,"Bronzeville Housing Trust Fund - Wards 2, 3, 4 & 20",YES,1231
2,31253,23846,Circuit Court Judge (Vacancy of Foreman),Patrick T. Murphy,16406
2,31253,23846,Circuit Court Judge (Vacancy of O'Malley),Kathleen Marie Burke,15162
2,31253,23846,Circuit Court Judge (Vacancy of Orlando),Laurence J. Dunford,14147
2,31253,23846,Circuit Court Judge (Vacancy of Salyers),John Joseph Coyne,2704
2,31253,23846,Circuit Court Judge (Vacancy of Salyers),Michelle Jordan,14086
2,31253,23846,Circuit Court Judge (Vacancy of Siracusa),Timothy Patrick Murphy,14811
2,31253,23846,Circuit Court Judge - 5th (Vacancy of Cox),"Edward (""ED"") Washington II",1269
2,31253,23846,Circuit Court Judge - 8th (Addtl Judgeship A),Mary Lane Mikva,6125
2,31253,23846,Circuit Court Judge - 8th (Vac. of Gardner),Sheryl Ann Pethers,5998
2,31253,23846,Cook County - Treatment on Demand Initiative,NO,2508
2,31253,23846,Cook County - Treatment on Demand Initiative,YES,13555
2,31253,23846,Retain Alexander P. White as Circuit Court Judge,NO,2614
2,31253,23846,Retain Alexander P. White as Circuit Court Judge,YES,10001
2,31253,23846,Retain Allen S. Goldberg as Circuit Court Judge,NO,2698
2,31253,23846,Retain Allen S. Goldberg as Circuit Court Judge,YES,9596
2,31253,23846,Retain Anthony L. Young as Circuit Court Judge,NO,2171
2,31253,23846,Retain Anthony L. Young as Circuit Court Judge,YES,10159
2,31253,23846,Retain Arnette R. Hubbard as Circuit Court Judge,NO,2654
2,31253,23846,Retain Arnette R. Hubbard as Circuit Court Judge,YES,9768
2,31253,23846,Retain Bernetta D. Bush as Circuit Court Judge,NO,3064
2,31253,23846,Retain Bernetta D. Bush as Circuit Court Judge,YES,9524
2,31253,23846,Retain Bertina E. Lampkin as Circuit Court Judge,NO,2336
2,31253,23846,Retain Bertina E. Lampkin as Circuit Court Judge,YES,10330
2,31253,23846,Retain Carol A. Kelly as Circuit Court Judge,NO,1848
2,31253,23846,Retain Carol A. Kelly as Circuit Court Judge,YES,11416
2,31253,23846,Retain Charles Patrick Burns as Circuit Court Judge,NO,2405
2,31253,23846,Retain Charles Patrick Burns as Circuit Court Judge,YES,9648
2,31253,23846,Retain Cheyrl D. Ingram as Circuit Court Judge,NO,2232
2,31253,23846,Retain Cheyrl D. Ingram as Circuit Court Judge,YES,10280
2,31253,23846,Retain Dan Weber as Circuit Court Judge,NO,2639
2,31253,23846,Retain Dan Weber as Circuit Court Judge,YES,10096
2,31253,23846,Retain Daniel E. Jordan as Circuit Court Judge,NO,2394
2,31253,23846,Retain Daniel E. Jordan as Circuit Court Judge,YES,10351
2,31253,23846,Retain Daniel J. Sullivan as Circuit Court Judge,NO,2531
2,31253,23846,Retain Daniel J. Sullivan as Circuit Court Judge,YES,9763
2,31253,23846,Retain Daniel Joseph Lynch as Circuit Court Judge,NO,2591
2,31253,23846,Retain Daniel Joseph Lynch as Circuit Court Judge,YES,9844
2,31253,23846,Retain Daniel Michael Locallo as Circuit Court Judge,NO,2617
2,31253,23846,Retain Daniel Michael Locallo as Circuit Court Judge,YES,9478
2,31253,23846,Retain David Delgado as Circuit Court Judge,NO,2629
2,31253,23846,Retain David Delgado as Circuit Court Judge,YES,9717
2,31253,23846,Retain Deborah Mary Dooling as Circuit Court Judge,NO,2608
2,31253,23846,Retain Deborah Mary Dooling as Circuit Court Judge,YES,9848
2,31253,23846,Retain Denise Kathleen Filan as Circuit Court Judge,NO,2451
2,31253,23846,Retain Denise Kathleen Filan as Circuit Court Judge,YES,9622
2,31253,23846,Retain Dennis James Morrissey as Circuit Court Judge,NO,3094
2,31253,23846,Retain Dennis James Morrissey as Circuit Court Judge,YES,9367
2,31253,23846,Retain Diane Joan Larsen as Circuit Court Judge,NO,2040
2,31253,23846,Retain Diane Joan Larsen as Circuit Court Judge,YES,11119
2,31253,23846,"Retain Donald J. O'Brien, Jr. as Circuit Court Judge",NO,2763
2,31253,23846,"Retain Donald J. O'Brien, Jr. as Circuit Court Judge",YES,9776
2,31253,23846,Retain Dorothy F. Jones as Circuit Court Judge,NO,3750
2,31253,23846,Retain Dorothy F. Jones as Circuit Court Judge,YES,9759
2,31253,23846,Retain Dorothy Kirie Kinnaird as Circuit Court Judge,NO,2611
2,31253,23846,Retain Dorothy Kirie Kinnaird as Circuit Court Judge,YES,10128
2,31253,23846,Retain Edna M. Turkington as Circuit Court Judge,NO,2866
2,31253,23846,Retain Edna M. Turkington as Circuit Court Judge,YES,10109
2,31253,23846,Retain Irwin J. Solganick as Circuit Court Judge,NO,3074
2,31253,23846,Retain Irwin J. Solganick as Circuit Court Judge,YES,9371
2,31253,23846,Retain James Patrick McCarthy as Circuit Court Judge,NO,2471
2,31253,23846,Retain James Patrick McCarthy as Circuit Court Judge,YES,9581
2,31253,23846,Retain James W. Kennedy as Circuit Court Judge,NO,2598
2,31253,23846,Retain James W. Kennedy as Circuit Court Judge,YES,10508
2,31253,23846,Retain Jeffrey Lawrence as Circuit Court Judge,NO,2339
2,31253,23846,Retain Jeffrey Lawrence as Circuit Court Judge,YES,9811
2,31253,23846,Retain Jennifer Duncan Brice as Circuit Court Judge,NO,2278
2,31253,23846,Retain Jennifer Duncan Brice as Circuit Court Judge,YES,10319
2,31253,23846,Retain John A. Ward as Circuit Court Judge,NO,2298
2,31253,23846,Retain John A. Ward as Circuit Court Judge,YES,10005
2,31253,23846,"Retain John D. Turner, Jr. as Circuit Court Judge",NO,2415
2,31253,23846,"Retain John D. Turner, Jr. as Circuit Court Judge",YES,10540
2,31253,23846,Retain John J. Moran as Circuit Court Judge,NO,2665
2,31253,23846,Retain John J. Moran as Circuit Court Judge,YES,9976
2,31253,23846,Retain John Patrick Kirby as Circuit Court Judge,NO,2482
2,31253,23846,Retain John Patrick Kirby as Circuit Court Judge,YES,9818
2,31253,23846,Retain Julia Margaret Nowicki as Circuit Court Judge,NO,2591
2,31253,23846,Retain Julia Margaret Nowicki as Circuit Court Judge,YES,9574
2,31253,23846,Retain Kathleen Mary Pantle as Circuit Court Judge,NO,2371
2,31253,23846,Retain Kathleen Mary Pantle as Circuit Court Judge,YES,10043
2,31253,23846,Retain Kevin Michael Sheehan as Circuit Court Judge,NO,2669
2,31253,23846,Retain Kevin Michael Sheehan as Circuit Court Judge,YES,9820
2,31253,23846,Retain LaQuietta J Hardy-Campbell as Circuit Court Judge,NO,2266
2,31253,23846,Retain LaQuietta J Hardy-Campbell as Circuit Court Judge,YES,10029
2,31253,23846,Retain Leida J. Gonzalez Santiago as Circuit Couut Judge,NO,2901
2,31253,23846,Retain Leida J. Gonzalez Santiago as Circuit Couut Judge,YES,9504
2,31253,23846,Retain Mary Jane Wendt Theis as Appellate Court Judge,NO,2904
2,31253,23846,Retain Mary Jane Wendt Theis as Appellate Court Judge,YES,10371
2,31253,23846,Retain Maureen Durkin Roy as Circuit Court Judge,NO,2483
2,31253,23846,Retain Maureen Durkin Roy as Circuit Court Judge,YES,9679
2,31253,23846,Retain Melvin J. Cole as Circuit Court Judge,NO,2660
2,31253,23846,Retain Melvin J. Cole as Circuit Court Judge,YES,9423
2,31253,23846,Retain Michael James Murphy as Circuit Court Judge,NO,2355
2,31253,23846,Retain Michael James Murphy as Circuit Court Judge,YES,9935
2,31253,23846,Retain Michael R. Keehan as Circuit Court Judge,NO,2565
2,31253,23846,Retain Michael R. Keehan as Circuit Court Judge,YES,9526
2,31253,23846,Retain Nancy J. Arnold as Circuit Court Judge,NO,2243
2,31253,23846,Retain Nancy J. Arnold as Circuit Court Judge,YES,9878
2,31253,23846,"Retain Nathaniel R. Howse, Jr. as Circuit Court Judge",NO,2472
2,31253,23846,"Retain Nathaniel R. Howse, Jr. as Circuit Court Judge",YES,9628
2,31253,23846,Retain Nicholas R. Ford as Circuit Court Judge,NO,2472
2,31253,23846,Retain Nicholas R. Ford as Circuit Court Judge,YES,9470
2,31253,23846,Retain Paddy McNamara as Circuit Court Judge,NO,2925
2,31253,23846,Retain Paddy McNamara as Circuit Court Judge,YES,9755
2,31253,23846,Retain Patrick E. McGann as Circuit Court Judge,NO,2562
2,31253,23846,Retain Patrick E. McGann as Circuit Court Judge,YES,9592
2,31253,23846,Retain Paul Philip Biebel as Circuit Court Judge,NO,2641
2,31253,23846,Retain Paul Philip Biebel as Circuit Court Judge,YES,9420
2,31253,23846,Retain Paul Stralka as Circuit Court Judge,NO,2677
2,31253,23846,Retain Paul Stralka as Circuit Court Judge,YES,9572
2,31253,23846,Retain Raymond L. Jagielski as Circuit Court Judge,NO,2964
2,31253,23846,Retain Raymond L. Jagielski as Circuit Court Judge,YES,9200
2,31253,23846,Retain Richard A. Siebel as Circuit Court Judge,NO,2689
2,31253,23846,Retain Richard A. Siebel as Circuit Court Judge,YES,9526
2,31253,23846,Retain Richard B. Berland Circuit Court Judge,NO,2896
2,31253,23846,Retain Richard B. Berland Circuit Court Judge,YES,10050
2,31253,23846,"Retain Richard J. Billik, Jr. as Circuit Court Judge",NO,2940
2,31253,23846,"Retain Richard J. Billik, Jr. as Circuit Court Judge",YES,9585
2,31253,23846,Retain Robert J. Quinn as Circuit Court Judge,NO,2504
2,31253,23846,Retain Robert J. Quinn as Circuit Court Judge,YES,9700
2,31253,23846,Retain Robert W. Bertucci as Circuit Court Judge,NO,2514
2,31253,23846,Retain Robert W. Bertucci as Circuit Court Judge,YES,10686
2,31253,23846,Retain Sharon Marie Sullivan as Circuit Court Judge,NO,2348
2,31253,23846,Retain Sharon Marie Sullivan as Circuit Court Judge,YES,10237
2,31253,23846,Retain Sheila O'Brien as Appellate Court Judge,NO,2472
2,31253,23846,Retain Sheila O'Brien as Appellate Court Judge,YES,11253
2,31253,23846,Retain Sophia H. Hall as Circuit Court Judge,NO,2012
2,31253,23846,Retain Sophia H. Hall as Circuit Court Judge,YES,12012
2,31253,23846,Retain Susan Frances Zwick as Circuit Court Judge,NO,2561
2,31253,23846,Retain Susan Frances Zwick as Circuit Court Judge,YES,9517
2,31253,23846,Retain Susan Jeanine McDunn as Circuit Court Judge,NO,3901
2,31253,23846,Retain Susan Jeanine McDunn as Circuit Court Judge,YES,8602
2,31253,23846,Retain Susan Ruscitti Grussel as Circuit Court Judge,NO,2636
2,31253,23846,Retain Susan Ruscitti Grussel as Circuit Court Judge,YES,9619
2,31253,23846,Retain Thomas E Hoffman as Appellate Court Judge,NO,2523
2,31253,23846,Retain Thomas E Hoffman as Appellate Court Judge,YES,11396
2,31253,23846,Retain Thomas F. Carmody as Circuit Court Judge,NO,2692
2,31253,23846,Retain Thomas F. Carmody as Circuit Court Judge,YES,9505
2,31253,23846,Retain Thomas L. Hogan as Circuit Court Judge,NO,2498
2,31253,23846,Retain Thomas L. Hogan as Circuit Court Judge,YES,9399
2,31253,23846,Retain Thomas Michael Davy as Circuit Court Judge,NO,2665
2,31253,23846,Retain Thomas Michael Davy as Circuit Court Judge,YES,9537
2,31253,23846,"Retain Thomas P. Fecarotta, Jr. as Circuit Court Judge",NO,2723
2,31253,23846,"Retain Thomas P. Fecarotta, Jr. as Circuit Court Judge",YES,9178
2,31253,23846,Retain Thomas P. Quinn as Circuit Court Judge,NO,2748
2,31253,23846,Retain Thomas P. Quinn as Circuit Court Judge,YES,10104
2,31253,23846,Retain Timothy C. Evans as Circuit Court Judge,NO,2353
2,31253,23846,Retain Timothy C. Evans as Circuit Court Judge,YES,10949
2,31253,23846,Retain Vincent M. Gaughan as Circuit Court Judge,NO,2879
2,31253,23846,Retain Vincent M. Gaughan as Circuit Court Judge,YES,9540
2,31253,23846,Retain William D. Maddux as Circuit Court Judge,NO,2833
2,31253,23846,Retain William D. Maddux as Circuit Court Judge,YES,9832
2,31253,23846,Retain William D. O'Neal as Circuit Court Judge,NO,3433
2,31253,23846,Retain William D. O'Neal as Circuit Court Judge,YES,8995
2,31253,23846,Retain William Maki as Circuit Court Judge,NO,2621
2,31253,23846,Retain William Maki as Circuit Court Judge,YES,9353
2,31253,23846,Retain William Michael Phelan as Circuit Court Judge,NO,2955
2,31253,23846,Retain William Michael Phelan as Circuit Court Judge,YES,9224
2,31253,23846,Retain William P. O'Malley as Circuit Court Judge,NO,2793
2,31253,23846,Retain William P. O'Malley as Circuit Court Judge,YES,10313
3,23596,17177,"Bronzeville Housing Trust Fund - Wards 2, 3, 4 & 20",NO,1356
3,23596,17177,"Bronzeville Housing Trust Fund - Wards 2, 3, 4 & 20",YES,7710
3,23596,17177,Circuit Court Judge (Vacancy of Foreman),Patrick T. Murphy,11158
3,23596,17177,Circuit Court Judge (Vacancy of O'Malley),Kathleen Marie Burke,9891
3,23596,17177,Circuit Court Judge (Vacancy of Orlando),Laurence J. Dunford,10129
3,23596,17177,Circuit Court Judge (Vacancy of Salyers),John Joseph Coyne,689
3,23596,17177,Circuit Court Judge (Vacancy of Salyers),Michelle Jordan,11289
3,23596,17177,Circuit Court Judge (Vacancy of Siracusa),Timothy Patrick Murphy,9861
3,23596,17177,Circuit Court Judge - 5th (Vacancy of Cox),"Edward (""ED"") Washington II",8431
3,23596,17177,Circuit Court Judge - 8th (Addtl Judgeship A),Mary Lane Mikva,1389
3,23596,17177,Circuit Court Judge - 8th (Vac. of Gardner),Sheryl Ann Pethers,1374
3,23596,17177,Cook County - Treatment on Demand Initiative,NO,870
3,23596,17177,Cook County - Treatment on Demand Initiative,YES,11668
3,23596,17177,Retain Alexander P. White as Circuit Court Judge,NO,1996
3,23596,17177,Retain Alexander P. White as Circuit Court Judge,YES,6057
3,23596,17177,Retain Allen S. Goldberg as Circuit Court Judge,NO,2163
3,23596,17177,Retain Allen S. Goldberg as Circuit Court Judge,YES,5688
3,23596,17177,Retain Anthony L. Young as Circuit Court Judge,NO,1533
3,23596,17177,Retain Anthony L. Young as Circuit Court Judge,YES,7600
3,23596,17177,Retain Arnette R. Hubbard as Circuit Court Judge,NO,1709
3,23596,17177,Retain Arnette R. Hubbard as Circuit Court Judge,YES,7352
3,23596,17177,Retain Bernetta D. Bush as Circuit Court Judge,NO,2372
3,23596,17177,Retain Bernetta D. Bush as Circuit Court Judge,YES,6642
3,23596,17177,Retain Bertina E. Lampkin as Circuit Court Judge,NO,1673
3,23596,17177,Retain Bertina E. Lampkin as Circuit Court Judge,YES,7579
3,23596,17177,Retain Carol A. Kelly as Circuit Court Judge,NO,1361
3,23596,17177,Retain Carol A. Kelly as Circuit Court Judge,YES,7680
3,23596,17177,Retain Charles Patrick Burns as Circuit Court Judge,NO,1892
3,23596,17177,Retain Charles Patrick Burns as Circuit Court Judge,YES,5893
3,23596,17177,Retain Cheyrl D. Ingram as Circuit Court Judge,NO,1667
3,23596,17177,Retain Cheyrl D. Ingram as Circuit Court Judge,YES,7420
3,23596,17177,Retain Dan Weber as Circuit Court Judge,NO,2092
3,23596,17177,Retain Dan Weber as Circuit Court Judge,YES,6032
3,23596,17177,Retain Daniel E. Jordan as Circuit Court Judge,NO,1791
3,23596,17177,Retain Daniel E. Jordan as Circuit Court Judge,YES,6629
3,23596,17177,Retain Daniel J. Sullivan as Circuit Court Judge,NO,1985
3,23596,17177,Retain Daniel J. Sullivan as Circuit Court Judge,YES,5944
3,23596,17177,Retain Daniel Joseph Lynch as Circuit Court Judge,NO,2024
3,23596,17177,Retain Daniel Joseph Lynch as Circuit Court Judge,YES,6139
3,23596,17177,Retain Daniel Michael Locallo as Circuit Court Judge,NO,2151
3,23596,17177,Retain Daniel Michael Locallo as Circuit Court Judge,YES,5599
3,23596,17177,Retain David Delgado as Circuit Court Judge,NO,2077
